id,title,author,created_at,cover_url
1,Shoe-Dog,Phil Knight,2026-01-11 17:51:05,https://covers.openlibrary.org/b/id/8858487-L.jpg
5,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,2026-01-13 09:58:16,https://books.google.com/books/content?id=OsO_zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
6,The Fountainhead,Ayn Rand,2026-01-13 09:58:21,http://books.google.com/books/content?id=Go9kAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
7,Think and Grow Rich,Napoleon Hill,2026-01-13 09:58:21,https://covers.openlibrary.org/b/id/14542536-L.jpg
8,"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,2026-01-13 09:58:22,"https://ik.imagekit.io/panmac/tr:f-auto,di-placeholder_portrait_harriman_house_rKWEhE4VY.png,w-270/edition/9780857197689.jpg"
9,One Up on Wall Street: How to Use What You Already Know to Make Money In,Peter Lynch,2026-01-13 09:58:22,https://covers.openlibrary.org/b/id/15091628.jpg
10,The Little Book That Still Beats the Market,Joel Greenblatt,2026-01-13 09:58:22,https://covers.openlibrary.org/b/isbn/9781119986133-L.jpg
11,Deep Work,Cal Newport,2026-01-13 09:58:22,http://books.google.com/books/content?id=foeNrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
12,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,2026-01-13 09:58:23,https://covers.openlibrary.org/b/id/14858425.jpg
13,Rich Dad Poor Dad,Robert T. Kiyosaki,2026-01-13 09:58:23,https://covers.openlibrary.org/b/id/8315603-L.jpg
14,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,"Newport, Cal",2026-01-13 09:58:23,https://covers.openlibrary.org/b/id/14816693.jpg
15,The Most Important Thing,Marks,2026-01-14 20:12:05,https://covers.openlibrary.org/b/id/10001222.jpg
